database	alphabet	kmer size	seed shape	minimizer window	filtering	path	minimizer criterion	DB Index size	class, OVO (1.00) read count cumulative	family, OVO (1.00) read count cumulative	genus, OVO (1.00) read count cumulative	kingdom, OVO (1.00) read count cumulative	order, OVO (1.00) read count cumulative	phylum, OVO (1.00) read count cumulative	species, OVO (1.00) read count cumulative	superkingdom, OVO (1.00) read count cumulative
kraken2 - NR	Solis 15 S	12	111111111111	15		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_kraken2_processed/per_taxon_assignments.tsv			1136476.0	1134365.0	1132097.0	589907.0	1134896.0	1139112.0	812985.0	1139424.0
NR90	uniform 11 S	11	11111111111	11		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_11-mer/per_taxon_assignments.tsv		238.0	1126660.0	1097797.0	1089099.0	1139089.0	1100032.0	1138798.0	442088.0	1139753.0
NR90	uniform 11 S	12	111111111111	12		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_12-mer/per_taxon_assignments.tsv		268.0	1128878.0	1118611.0	1106866.0	1138901.0	1120697.0	1138480.0	448565.0	1139504.0
NR90	uniform 11 S	13	1111111111111	13		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_13-mer/per_taxon_assignments.tsv		279.0	1128596.0	1119989.0	1107578.0	1137657.0	1122114.0	1137331.0	449634.0	1138301.0
NR90	uniform 11 S	14	11111111111111	14		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_14-mer/per_taxon_assignments.tsv		286.0	1128725.0	1120291.0	1107380.0	1135961.0	1122462.0	1135604.0	449958.0	1137086.0
NR90	uniform 11 S	15	111111111111111	15		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_15-mer/per_taxon_assignments.tsv		292.0	1128918.0	1120338.0	1106946.0	1135276.0	1122619.0	1134881.0	448896.0	1136815.0
NR90	uniform 11 S	12	111010110100110111	18		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_zhang12_12-mer/per_taxon_assignments.tsv		271.0	1132568.0	1120595.0	1108433.0	1137399.0	1122819.0	1136292.0	442364.0	1138451.0
NR90	uniform 11 S	9	110110101000111	15		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_zhang9_9-mer/per_taxon_assignments.tsv		147.0	537129.0	24334.0	12413.0	1128586.0	27743.0	1113023.0	1569.0	1138966.0
NR90	uniform 11 S	12	11111100111111	14		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform11s_12-2-mer/per_taxon_assignments.tsv		269.0	1131650.0	1120609.0	1108597.0	1138394.0	1122679.0	1137747.0	447269.0	1139164.0
NR90	uniform 16 S	13	1111111111111	13		F:/Studium/Master/semester5/thesis/data/test_datasets/zymo_oral/assignment_nr90_uniform16s_13-mer/per_taxon_assignments.tsv		284.0	1127922.0	1120010.0	1107479.0	1137015.0	1121835.0	1136855.0	451168.0	1137577.0
