bucket	count
4177248169415	1380237
8354496338831	837972
12531744508246	261353
16708992677662	254461
20886240847078	125309
25063489016493	55265
29240737185909	136882
33417985355325	57675
37595233524740	540194
41772481694156	814780
45949729863572	237958
50126978032987	104234
54304226202403	132589
58481474371819	40721
62658722541234	44160
66835970710650	69496
71013218880066	633226
75190467049481	527599
79367715218897	657602
83544963388313	142602
87722211557728	98500
91899459727144	97041
96076707896559	56143
100253956065975	53848
104431204235391	194465
108608452404806	187777
112785700574222	172748
116962948743638	67468
121140196913053	35963
125317445082469	27332
129494693251885	21872
133671941421300	19647
137849189590716	12362
142026437760132	237862
146203685929547	131016
150380934098963	48011
154558182268379	41175
158735430437794	20292
162912678607210	7925
167089926776626	17791
171267174946041	8860
175444423115457	110900
179621671284873	144294
183798919454288	48940
187976167623704	19649
192153415793119	26461
196330663962535	9999
200507912131951	9490
204685160301366	11874
208862408470782	85142
213039656640198	65564
217216904809613	91217
221394152979029	20421
225571401148445	16006
229748649317860	15485
233925897487276	8183
238103145656692	7484
242280393826107	32434
246457641995523	40752
250634890164939	37195
254812138334354	17205
258989386503770	8964
263166634673186	5120
267343882842601	5318
271521131012017	4425
275698379181432	2276
279875627350848	82837
284052875520264	72929
288230123689679	23878
292407371859095	21122
296584620028511	13337
300761868197926	5225
304939116367342	9613
309116364536758	5428
313293612706173	69360
317470860875589	78181
321648109045005	36934
325825357214420	12323
330002605383836	12125
334179853553252	5547
338357101722667	4894
342534349892083	7954
346711598061499	40854
350888846230914	30273
355066094400330	39312
359243342569746	8988
363420590739161	6324
367597838908577	5648
371775087077992	3854
375952335247408	3909
380129583416824	273681
384306831586239	683873
388484079755655	493455
392661327925071	205444
396838576094486	115552
401015824263902	68298
405193072433318	45109
409370320602733	67466
413547568772149	31485
417724816941565	544267
421902065110980	575729
426079313280396	173256
430256561449812	106697
434433809619227	76989
438611057788643	28898
442788305958059	42495
446965554127474	40311
451142802296890	460473
455320050466305	516440
459497298635721	375453
463674546805137	100933
467851794974552	80228
472029043143968	52258
476206291313384	37542
480383539482799	41910
484560787652215	155971
488738035821631	146808
492915283991046	154753
497092532160462	54698
501269780329878	25298
505447028499293	21039
509624276668709	17165
513801524838125	14609
517978773007540	39224
522156021176956	149970
526333269346372	88818
530510517515787	39113
534687765685203	27995
538865013854618	12079
543042262024034	6806
547219510193450	11446
551396758362865	5959
555574006532281	93260
559751254701697	102288
563928502871112	33223
568105751040528	16013
572282999209944	17556
576460247379359	6372
580637495548775	7661
584814743718191	7771
588991991887606	56935
593169240057022	49596
597346488226438	52752
601523736395853	11507
605700984565269	8687
609878232734685	9693
614055480904100	5209
618232729073516	4249
622409977242932	27106
626587225412347	27893
630764473581763	25033
634941721751178	14575
639118969920594	5375
643296218090010	3417
647473466259425	4721
651650714428841	2655
655827962598257	1510
660005210767672	65495
664182458937088	39858
668359707106504	14259
672536955275919	14590
676714203445335	6113
680891451614751	3249
685068699784166	7030
689245947953582	2707
693423196122998	46205
697600444292413	61511
701777692461829	18981
705954940631245	8437
710132188800660	8104
714309436970076	2802
718486685139492	3171
722663933308907	5286
726841181478323	28302
731018429647738	21726
735195677817154	26368
739372925986570	5186
743550174155985	3917
747727422325401	3750
751904670494817	2576
756081918664232	2327
760259166833648	554319
764436415003064	648330
768613663172479	485272
772790911341895	246435
776968159511311	100560
781145407680726	69346
785322655850142	68056
789499904019558	60112
793677152188973	32560
797854400358389	779051
802031648527805	450134
806208896697220	173037
810386144866636	128394
814563393036051	58913
818740641205467	28968
822917889374883	61565
827095137544298	30607
831272385713714	520148
835449633883130	640403
839626882052545	265103
843804130221961	100717
847981378391377	93780
852158626560792	41906
856335874730208	42978
860513122899624	45603
864690371069039	147412
868867619238455	129996
873044867407871	156371
877222115577286	44903
881399363746702	25194
885576611916118	21891
889753860085533	15939
893931108254949	14566
898108356424365	65289
902285604593780	137323
906462852763196	98676
910640100932611	49914
914817349102027	28398
918994597271443	13045
923171845440858	9416
927349093610274	11931
931526341779690	5764
935703589949105	117861
939880838118521	91778
944058086287937	32109
948235334457352	20382
952412582626768	14703
956589830796184	6187
960767078965599	9846
964944327135015	6589
969121575304431	68520
973298823473846	66984
977476071643262	37825
981653319812678	12550
985830567982093	11908
990007816151509	6950
994185064320924	5853
998362312490340	5162
1002539560659756	34151
1006716808829171	29537
1010894056998587	29948
1015071305168003	11422
1019248553337418	5363
1023425801506834	4523
1027603049676250	4802
1031780297845665	2753
1035957546015081	17161
1040134794184497	66874
1044312042353912	40101
1048489290523328	19040
1052666538692744	12526
1056843786862159	6342
1061021035031575	5079
1065198283200991	7029
1069375531370406	2875
1073552779539822	60868
1077730027709237	54216
1081907275878653	16358
1086084524048069	9450
1090261772217484	7136
1094439020386900	2496
1098616268556316	4516
1102793516725731	4273
1106970764895147	29305
1111148013064563	25451
1115325261233978	19870
1119502509403394	4690
1123679757572810	4209
1127857005742225	2815
1132034253911641	2363
1136211502081057	2522
1140388750250472	168206
1144565998419888	187819
1148743246589304	200948
1152920494758719	80492
1157097742928135	34688
1161274991097551	27309
1165452239266966	21101
1169629487436382	18252
1173806735605798	27965
1177983983775213	215758
1182161231944629	144175
1186338480114044	60212
1190515728283460	45228
1194692976452876	18850
1198870224622291	8894
1203047472791707	19157
1207224720961123	9043
1211401969130538	159527
1215579217299954	241523
1219756465469370	71683
1223933713638785	41001
1228110961808201	35598
1232288209977617	11599
1236465458147032	12222
1240642706316448	17562
1244819954485864	51493
1248997202655279	48223
1253174450824695	61299
1257351698994111	13836
1261528947163526	9658
1265706195332942	8729
1269883443502357	4987
1274060691671773	5292
1278237939841189	25725
1282415188010604	29082
1286592436180020	25004
1290769684349436	15163
1294946932518851	7095
1299124180688267	3179
1303301428857683	3156
1307478677027098	2640
1311655925196514	1766
1315833173365930	46455
1320010421535345	30102
1324187669704761	11809
1328364917874177	8301
1332542166043592	4576
1336719414213008	2119
1340896662382424	3776
1345073910551839	2015
1349251158721255	24443
1353428406890671	30587
1357605655060086	11822
1361782903229502	4454
1365960151398917	5550
1370137399568333	2275
1374314647737749	2123
1378491895907164	2686
1382669144076580	9503
1386846392245996	9088
1391023640415411	11089
1395200888584827	3295
1399378136754243	1717
1403555384923658	1755
1407732633093074	1169
1411909881262490	897
1416087129431905	10597
1420264377601321	17006
1424441625770737	14928
1428618873940152	7516
1432796122109568	3514
1436973370278984	2157
1441150618448399	2094
1445327866617815	1802
1449505114787230	1054
1453682362956646	23241
1457859611126062	18576
1462036859295477	6554
1466214107464893	4317
1470391355634309	2309
1474568603803724	929
1478745851973140	1935
1482923100142556	1452
1487100348311971	11225
1491277596481387	12957
1495454844650803	6880
1499632092820218	1973
1503809340989634	2161
1507986589159050	988
1512163837328465	942
1516341085497881	1264
1520518333667297	136251
1524695581836712	118685
1528872830006128	140018
1533050078175543	50609
1537227326344959	21741
1541404574514375	19649
1545581822683790	14499
1549759070853206	12188
1553936319022622	55070
1558113567192037	128059
1562290815361453	88223
1566468063530869	46069
1570645311700284	26221
1574822559869700	11377
1578999808039116	8617
1583177056208531	11058
1587354304377947	5680
1591531552547363	132986
1595708800716778	126693
1599886048886194	34986
1604063297055610	32972
1608240545225025	19239
1612417793394441	7099
1616595041563857	11856
1620772289733272	9479
1624949537902688	39064
1629126786072103	41619
1633304034241519	31398
1637481282410935	10980
1641658530580350	7517
1645835778749766	4963
1650013026919182	3497
1654190275088597	4472
1658367523258013	26926
1662544771427429	28253
1666722019596844	23172
1670899267766260	23365
1675076515935676	4818
1679253764105091	3052
1683431012274507	2888
1687608260443923	2158
1691785508613338	6083
1695962756782754	24356
1700140004952170	16929
1704317253121585	6681
1708494501291001	5336
1712671749460416	2668
1716848997629832	1762
1721026245799248	2402
1725203493968663	1225
1729380742138079	16079
1733557990307495	16966
1737735238476910	5850
1741912486646326	3654
1746089734815742	3308
1750266982985157	1273
1754444231154573	1616
1758621479323989	1419
1762798727493404	5688
1766975975662820	5933
1771153223832236	5572
1775330472001651	2396
1779507720171067	1003
1783684968340483	1012
1787862216509898	771
1792039464679314	464
