bucket	count
4177248169415	1065842
8354496338831	671146
12531744508246	215982
16708992677662	202348
20886240847078	111114
25063489016493	34148
29240737185909	112519
33417985355325	49029
37595233524740	433568
41772481694156	661152
45949729863572	201580
50126978032987	82768
54304226202403	115749
58481474371819	28909
62658722541234	35183
66835970710650	61590
71013218880066	503106
75190467049481	430651
79367715218897	523835
83544963388313	116810
87722211557728	82303
91899459727144	76527
96076707896559	43189
100253956065975	46733
104431204235391	160816
108608452404806	155449
112785700574222	146175
116962948743638	54156
121140196913053	29852
125317445082469	24486
129494693251885	15861
133671941421300	17731
137849189590716	11195
142026437760132	184041
146203685929547	106004
150380934098963	36266
154558182268379	28134
158735430437794	16095
162912678607210	4635
167089926776626	14446
171267174946041	7468
175444423115457	95411
179621671284873	124471
183798919454288	42910
187976167623704	15675
192153415793119	23472
196330663962535	7252
200507912131951	7697
204685160301366	10527
208862408470782	76014
213039656640198	59799
217216904809613	80445
221394152979029	18464
225571401148445	14933
229748649317860	13616
233925897487276	6865
238103145656692	6569
242280393826107	20025
246457641995523	24171
250634890164939	21876
254812138334354	10561
258989386503770	5327
263166634673186	3231
267343882842601	2865
271521131012017	2891
275698379181432	1422
279875627350848	67598
284052875520264	60240
288230123689679	20004
292407371859095	17871
296584620028511	11328
300761868197926	3510
304939116367342	7839
309116364536758	4573
313293612706173	56951
317470860875589	69741
321648109045005	32667
325825357214420	10870
330002605383836	10171
334179853553252	3961
338357101722667	3985
342534349892083	7151
346711598061499	34469
350888846230914	25796
355066094400330	34859
359243342569746	8011
363420590739161	5750
367597838908577	4904
371775087077992	3326
375952335247408	3458
380129583416824	214233
384306831586239	559428
388484079755655	401244
392661327925071	170106
396838576094486	97352
401015824263902	62275
405193072433318	31916
409370320602733	58896
413547568772149	28577
417724816941565	431711
421902065110980	461702
426079313280396	147730
430256561449812	86194
434433809619227	67987
438611057788643	20580
442788305958059	35634
446965554127474	37970
451142802296890	373579
455320050466305	430431
459497298635721	318544
463674546805137	84725
467851794974552	72176
472029043143968	42479
476206291313384	30058
480383539482799	38146
484560787652215	133296
488738035821631	124419
492915283991046	134006
497092532160462	44016
501269780329878	23170
505447028499293	19422
509624276668709	14109
513801524838125	13817
517978773007540	31991
522156021176956	118014
