bucket	count
4177248169415	310836
8354496338831	181166
12531744508246	41505
16708992677662	37306
20886240847078	18225
25063489016493	5566
29240737185909	17859
33417985355325	6294
37595233524740	106880
41772481694156	166785
45949729863572	33845
50126978032987	11999
54304226202403	17485
58481474371819	3735
62658722541234	4891
66835970710650	7440
71013218880066	137165
75190467049481	100950
79367715218897	131353
83544963388313	18909
87722211557728	12764
91899459727144	12643
96076707896559	6856
100253956065975	6495
104431204235391	33024
108608452404806	25642
112785700574222	26855
116962948743638	7788
121140196913053	3909
125317445082469	3316
129494693251885	2222
133671941421300	1985
137849189590716	1195
142026437760132	33390
146203685929547	16205
150380934098963	5126
154558182268379	3990
158735430437794	2471
162912678607210	632
167089926776626	1600
171267174946041	753
175444423115457	15390
179621671284873	18962
183798919454288	5727
187976167623704	1949
192153415793119	2990
196330663962535	789
200507912131951	914
204685160301366	1220
208862408470782	12251
213039656640198	7949
217216904809613	12855
221394152979029	2353
225571401148445	1763
229748649317860	1702
233925897487276	822
238103145656692	757
242280393826107	3435
246457641995523	3801
250634890164939	3675
254812138334354	1689
258989386503770	793
263166634673186	421
267343882842601	323
271521131012017	330
275698379181432	201
279875627350848	9989
284052875520264	8388
288230123689679	2330
292407371859095	2181
296584620028511	1138
300761868197926	366
304939116367342	809
309116364536758	437
313293612706173	8604
317470860875589	9634
321648109045005	3926
325825357214420	1105
330002605383836	1166
334179853553252	485
338357101722667	404
342534349892083	684
346711598061499	4568
350888846230914	3061
355066094400330	4332
359243342569746	852
363420590739161	616
367597838908577	583
371775087077992	341
375952335247408	378
380129583416824	65687
384306831586239	130744
388484079755655	93688
392661327925071	29396
396838576094486	13240
401015824263902	8327
405193072433318	4338
409370320602733	7347
413547568772149	3059
417724816941565	110433
421902065110980	107089
426079313280396	23426
430256561449812	12401
434433809619227	8346
438611057788643	2271
442788305958059	4064
446965554127474	3951
451142802296890	89976
455320050466305	95882
459497298635721	62834
463674546805137	11561
467851794974552	9164
472029043143968	5202
476206291313384	3769
480383539482799	4490
484560787652215	25565
488738035821631	21614
492915283991046	22592
497092532160462	6108
501269780329878	2454
505447028499293	2220
509624276668709	1669
513801524838125	1465
517978773007540	5338
522156021176956	18388
526333269346372	9577
530510517515787	3506
534687765685203	2145
538865013854618	1051
543042262024034	467
547219510193450	851
551396758362865	474
555574006532281	11766
559751254701697	11654
563928502871112	3525
568105751040528	1393
572282999209944	1689
576460247379359	504
580637495548775	663
584814743718191	760
588991991887606	7060
593169240057022	5599
597346488226438	6166
601523736395853	1094
605700984565269	861
609878232734685	932
614055480904100	478
618232729073516	422
622409977242932	2494
626587225412347	2248
630764473581763	2035
634941721751178	1222
639118969920594	483
643296218090010	275
647473466259425	312
651650714428841	156
655827962598257	105
660005210767672	7363
664182458937088	4024
668359707106504	1354
672536955275919	1281
676714203445335	549
680891451614751	255
685068699784166	629
689245947953582	203
693423196122998	5126
697600444292413	6681
701777692461829	1945
705954940631245	686
710132188800660	738
714309436970076	222
718486685139492	259
722663933308907	485
726841181478323	2770
731018429647738	1905
735195677817154	2306
739372925986570	407
743550174155985	325
747727422325401	304
751904670494817	167
756081918664232	193
760259166833648	132372
764436415003064	116958
768613663172479	89197
772790911341895	37402
776968159511311	12707
781145407680726	9140
785322655850142	7581
789499904019558	6813
793677152188973	3469
797854400358389	154897
802031648527805	77187
806208896697220	25090
810386144866636	15608
814563393036051	6821
818740641205467	2544
822917889374883	6895
827095137544298	3017
831272385713714	102824
835449633883130	124515
839626882052545	42358
843804130221961	12694
847981378391377	12085
852158626560792	4526
856335874730208	4603
860513122899624	5196
864690371069039	23756
868867619238455	18489
873044867407871	24089
877222115577286	5567
881399363746702	2889
885576611916118	2571
889753860085533	1827
893931108254949	1608
898108356424365	9004
902285604593780	16567
906462852763196	12820
910640100932611	5338
914817349102027	2522
918994597271443	1458
923171845440858	756
927349093610274	1156
931526341779690	542
935703589949105	15174
939880838118521	11289
944058086287937	3576
948235334457352	2039
952412582626768	1579
956589830796184	559
960767078965599	904
964944327135015	598
969121575304431	8921
973298823473846	8054
977476071643262	4717
981653319812678	1342
985830567982093	1313
990007816151509	671
994185064320924	528
998362312490340	475
1002539560659756	3602
1006716808829171	2593
1010894056998587	2912
1015071305168003	1008
1019248553337418	432
1023425801506834	370
1027603049676250	356
1031780297845665	226
1035957546015081	2339
1040134794184497	7891
1044312042353912	4396
1048489290523328	1884
1052666538692744	1133
1056843786862159	617
1061021035031575	440
1065198283200991	615
1069375531370406	237
1073552779539822	7299
1077730027709237	5974
1081907275878653	1758
1086084524048069	942
1090261772217484	765
1094439020386900	211
1098616268556316	381
1102793516725731	428
1106970764895147	3198
1111148013064563	2759
1115325261233978	1940
1119502509403394	359
1123679757572810	478
1127857005742225	196
1132034253911641	200
1136211502081057	211
1140388750250472	28549
1144565998419888	27791
1148743246589304	31823
1152920494758719	9460
1157097742928135	3715
1161274991097551	3122
1165452239266966	2050
1169629487436382	1859
1173806735605798	3897
1177983983775213	31845
1182161231944629	19957
1186338480114044	8387
1190515728283460	4193
1194692976452876	1876
1198870224622291	773
1203047472791707	2003
1207224720961123	788
1211401969130538	25195
1215579217299954	37313
1219756465469370	9319
1223933713638785	4680
1228110961808201	3992
1232288209977617	1242
1236465458147032	1341
1240642706316448	1767
1244819954485864	6692
1248997202655279	5860
1253174450824695	7834
1257351698994111	1275
1261528947163526	911
1265706195332942	886
1269883443502357	499
1274060691671773	603
1278237939841189	2514
1282415188010604	2753
1286592436180020	2408
1290769684349436	1071
1294946932518851	527
1299124180688267	279
1303301428857683	246
1307478677027098	216
1311655925196514	110
1315833173365930	5244
1320010421535345	3169
1324187669704761	1184
1328364917874177	718
1332542166043592	411
1336719414213008	177
1340896662382424	320
1345073910551839	161
1349251158721255	3102
1353428406890671	3556
1357605655060086	1407
1361782903229502	464
1365960151398917	494
1370137399568333	233
1374314647737749	200
1378491895907164	227
1382669144076580	856
1386846392245996	814
1391023640415411	1095
1395200888584827	275
1399378136754243	140
1403555384923658	135
1407732633093074	84
1411909881262490	53
1416087129431905	1179
1420264377601321	1815
1424441625770737	1666
1428618873940152	704
1432796122109568	324
1436973370278984	196
1441150618448399	147
1445327866617815	171
1449505114787230	90
1453682362956646	2494
1457859611126062	1984
1462036859295477	711
1466214107464893	382
1470391355634309	224
1474568603803724	88
1478745851973140	163
1482923100142556	116
1487100348311971	1194
1491277596481387	1366
1495454844650803	624
1499632092820218	142
1503809340989634	224
1507986589159050	77
1512163837328465	73
1516341085497881	90
1520518333667297	19800
1524695581836712	14004
1528872830006128	18662
1533050078175543	4846
1537227326344959	2102
1541404574514375	1966
1545581822683790	1210
1549759070853206	1135
1553936319022622	7274
1558113567192037	15400
1562290815361453	10046
1566468063530869	4953
1570645311700284	1968
1574822559869700	979
1578999808039116	602
1583177056208531	802
1587354304377947	467
1591531552547363	17023
1595708800716778	15379
1599886048886194	3847
1604063297055610	2716
1608240545225025	1942
1612417793394441	551
1616595041563857	1111
1620772289733272	894
1624949537902688	4432
1629126786072103	4106
1633304034241519	3335
1637481282410935	991
1641658530580350	671
1645835778749766	407
1650013026919182	300
1654190275088597	421
1658367523258013	2061
1662544771427429	1933
1666722019596844	1801
1670899267766260	1771
1675076515935676	313
1679253764105091	253
1683431012274507	177
1687608260443923	110
1691785508613338	632
1695962756782754	2402
1700140004952170	1766
1704317253121585	772
1708494501291001	401
1712671749460416	276
1716848997629832	154
1721026245799248	221
1725203493968663	74
1729380742138079	1705
1733557990307495	1878
1737735238476910	626
1741912486646326	270
1746089734815742	305
1750266982985157	115
1754444231154573	136
1758621479323989	155
1762798727493404	459
1766975975662820	363
1771153223832236	437
1775330472001651	141
1779507720171067	65
1783684968340483	74
1787862216509898	50
1792039464679314	20
1796216712848730	695
1800393961018145	678
1804571209187561	873
1808748457356976	371
1812925705526392	208
1817102953695808	107
1821280201865223	137
1825457450034639	100
1829634698204055	39
1833811946373470	1085
1837989194542886	748
1842166442712302	235
1846343690881717	211
1850520939051133	79
1854698187220549	41
1858875435389964	111
1863052683559380	42
1867229931728796	628
1871407179898211	739
1875584428067627	216
1879761676237043	74
1883938924406458	146
1888116172575874	56
1892293420745289	41
1896470668914705	63
1900647917084121	17288
1904825165253536	10095
1909002413422952	12284
1913179661592368	2637
1917356909761783	1596
1921534157931199	1944
1925711406100615	942
1929888654270030	755
1934065902439446	8713
1938243150608862	8743
1942420398778277	7346
1946597646947693	3538
1950774895117109	1405
1954952143286524	980
1959129391455940	847
1963306639625356	700
1967483887794771	359
1971661135964187	17346
1975838384133602	9249
1980015632303018	3138
1984192880472434	2604
1988370128641849	1136
1992547376811265	521
1996724624980681	1087
2000901873150096	508
2005079121319512	3420
2009256369488928	4365
2013433617658343	1897
2017610865827759	608
2021788113997175	825
2025965362166590	241
2030142610336006	262
2034319858505422	360
2038497106674837	1706
2042674354844253	1218
2046851603013669	1585
2051028851183084	474
2055206099352500	243
2059383347521916	226
2063560595691331	131
2067737843860747	125
2071915092030162	1125
2076092340199578	1904
2080269588368994	1454
2084446836538409	654
2088624084707825	329
2092801332877241	188
2096978581046656	121
2101155829216072	186
2105333077385488	84
2109510325554903	2011
2113687573724319	1196
2117864821893735	428
2122042070063150	298
2126219318232566	194
2130396566401982	59
2134573814571397	130
2138751062740813	75
2142928310910229	572
2147105559079644	551
2151282807249060	369
2155460055418475	71
2159637303587891	118
2163814551757307	30
2167991799926722	56
2172169048096138	47
2176346296265554	745
2180523544434969	642
2184700792604385	661
2188878040773801	320
2193055288943216	169
2197232537112632	135
2201409785282048	80
2205587033451463	39
2209764281620879	420
2213941529790295	865
2218118777959710	555
2222296026129126	276
2226473274298542	162
2230650522467957	72
2234827770637373	42
2239005018806788	86
2243182266976204	36
2247359515145620	687
2251536763315035	640
2255714011484451	173
2259891259653867	76
2264068507823283	112
2268245755992698	28
2272423004162114	54
2276600252331529	53
2280777500500945	13591
2284954748670361	10498
2289131996839776	8108
2293309245009192	1923
2297486493178608	1643
2301663741348023	1509
2305840989517439	693
2310018237686855	798
2314195485856270	6582
2318372734025686	5374
2322549982195102	5808
2326727230364517	2013
2330904478533933	924
2335081726703349	855
2339258974872764	581
2343436223042180	529
2347613471211596	3265
2351790719381011	11368
2355967967550427	6681
2360145215719842	2409
2364322463889258	1858
2368499712058674	871
2372676960228089	507
2376854208397505	895
2381031456566921	374
2385208704736336	2728
2389385952905752	3302
2393563201075168	1082
2397740449244583	445
2401917697413999	690
2406094945583415	182
2410272193752830	223
2414449441922246	294
2418626690091662	1589
2422803938261077	845
2426981186430493	1342
2431158434599909	331
2435335682769324	197
2439512930938740	201
2443690179108156	107
2447867427277571	87
2452044675446987	1210
2456221923616402	1151
2460399171785818	1128
2464576419955234	549
2468753668124649	212
2472930916294065	145
2477108164463481	134
2481285412632896	97
2485462660802312	64
2489639908971728	1774
2493817157141143	897
2497994405310559	329
2502171653479975	218
2506348901649390	195
2510526149818806	99
2514703397988222	117
2518880646157637	71
2523057894327053	514
2527235142496469	512
2531412390665884	236
2535589638835300	112
2539766887004715	99
2543944135174131	42
2548121383343547	53
2552298631512962	46
2556475879682378	609
2560653127851794	444
2564830376021209	616
2569007624190625	187
2573184872360041	95
2577362120529456	106
2581539368698872	77
2585716616868288	45
2589893865037703	505
2594071113207119	536
2598248361376535	476
2602425609545950	179
2606602857715366	94
2610780105884782	57
2614957354054197	43
2619134602223613	54
2623311850393029	28
2627489098562444	603
2631666346731860	356
2635843594901275	124
2640020843070691	80
2644198091240107	57
2648375339409522	21
2652552587578938	58
2656729835748354	34
2660907083917769	5534
2665084332087185	3959
2669261580256601	2798
2673438828426016	665
2677616076595432	726
2681793324764848	588
2685970572934263	371
2690147821103679	335
2694325069273095	2250
2698502317442510	2343
2702679565611926	2426
2706856813781342	698
2711034061950757	353
2715211310120173	343
2719388558289588	291
2723565806459004	204
2727743054628420	1804
2731920302797835	3334
2736097550967251	2385
2740274799136667	1054
2744452047306082	449
2748629295475498	322
2752806543644914	365
2756983791814329	259
2761161039983745	120
2765338288153161	2133
2769515536322576	1273
2773692784491992	591
2777870032661408	234
2782047280830823	202
2786224529000239	62
2790401777169655	160
2794579025339070	83
2798756273508486	738
2802933521677901	589
2807110769847317	467
2811288018016733	164
2815465266186148	108
2819642514355564	102
2823819762524980	90
2827997010694395	49
2832174258863811	514
2836351507033227	389
2840528755202642	434
