bucket	count
4177248169415	2622744
8354496338831	1240943
12531744508246	164714
16708992677662	159161
20886240847078	65743
25063489016493	11343
29240737185909	74324
33417985355325	16325
37595233524740	804074
41772481694156	1080566
45949729863572	108464
50126978032987	45485
54304226202403	54991
58481474371819	6015
62658722541234	11639
66835970710650	21787
71013218880066	971152
75190467049481	545288
79367715218897	630526
83544963388313	52739
87722211557728	35808
91899459727144	30860
96076707896559	15093
100253956065975	16560
104431204235391	145144
108608452404806	81268
112785700574222	80277
116962948743638	17836
121140196913053	6294
125317445082469	5179
129494693251885	2841
133671941421300	3005
137849189590716	1467
142026437760132	138220
146203685929547	49391
150380934098963	8573
154558182268379	6781
158735430437794	2447
162912678607210	611
167089926776626	1975
171267174946041	773
175444423115457	60424
179621671284873	61311
183798919454288	8447
187976167623704	2594
192153415793119	4912
196330663962535	896
200507912131951	992
204685160301366	1536
208862408470782	46632
213039656640198	20462
217216904809613	33441
221394152979029	3088
225571401148445	2962
229748649317860	2650
233925897487276	958
238103145656692	939
242280393826107	6863
246457641995523	4987
250634890164939	5483
254812138334354	1565
258989386503770	716
263166634673186	518
267343882842601	328
271521131012017	302
275698379181432	181
279875627350848	33974
284052875520264	23534
288230123689679	3391
292407371859095	3018
296584620028511	1684
300761868197926	372
304939116367342	1043
309116364536758	490
313293612706173	34389
317470860875589	30027
321648109045005	6684
325825357214420	1589
330002605383836	1576
334179853553252	489
338357101722667	476
342534349892083	935
346711598061499	11165
350888846230914	4946
355066094400330	7841
359243342569746	929
363420590739161	773
367597838908577	652
371775087077992	430
375952335247408	370
380129583416824	559514
384306831586239	821513
388484079755655	521672
392661327925071	108922
396838576094486	40675
401015824263902	22630
405193072433318	10743
409370320602733	20360
413547568772149	5844
417724816941565	781361
421902065110980	597476
426079313280396	72485
430256561449812	57297
434433809619227	17630
438611057788643	3618
442788305958059	10501
446965554127474	7223
451142802296890	512073
455320050466305	466598
459497298635721	189411
463674546805137	29773
467851794974552	20249
472029043143968	8174
476206291313384	7076
480383539482799	8222
484560787652215	85888
488738035821631	67059
492915283991046	53171
497092532160462	13412
501269780329878	3624
505447028499293	2982
509624276668709	2294
513801524838125	1871
517978773007540	23318
522156021176956	79161
526333269346372	28685
530510517515787	6204
534687765685203	5049
538865013854618	1306
543042262024034	536
547219510193450	1060
551396758362865	543
555574006532281	35608
559751254701697	24935
563928502871112	4458
568105751040528	1899
572282999209944	1920
576460247379359	481
580637495548775	665
584814743718191	724
588991991887606	19013
593169240057022	12884
597346488226438	9766
601523736395853	1341
605700984565269	1053
609878232734685	1103
614055480904100	566
618232729073516	463
622409977242932	4021
626587225412347	3321
630764473581763	2602
634941721751178	1295
639118969920594	408
643296218090010	251
647473466259425	252
651650714428841	144
655827962598257	83
660005210767672	17562
664182458937088	7926
668359707106504	1825
672536955275919	1560
676714203445335	621
680891451614751	250
685068699784166	614
689245947953582	196
693423196122998	14308
697600444292413	14268
701777692461829	2261
705954940631245	867
710132188800660	742
714309436970076	213
718486685139492	262
722663933308907	475
726841181478323	5148
731018429647738	2713
735195677817154	3348
739372925986570	452
743550174155985	309
747727422325401	359
751904670494817	180
756081918664232	187
760259166833648	977491
764436415003064	603576
768613663172479	437292
772790911341895	119396
776968159511311	31005
781145407680726	22149
785322655850142	17635
789499904019558	15632
793677152188973	5370
797854400358389	823144
802031648527805	282375
806208896697220	59185
810386144866636	42449
814563393036051	11394
818740641205467	3377
822917889374883	13164
827095137544298	3775
831272385713714	512358
835449633883130	466749
839626882052545	84760
843804130221961	26059
847981378391377	21893
852158626560792	5289
856335874730208	8190
860513122899624	7459
864690371069039	69770
868867619238455	39704
873044867407871	46932
877222115577286	8378
881399363746702	3409
885576611916118	2991
889753860085533	2148
893931108254949	1806
898108356424365	31427
902285604593780	44826
906462852763196	27619
910640100932611	8065
914817349102027	3307
918994597271443	1597
923171845440858	847
927349093610274	1229
931526341779690	560
935703589949105	39671
939880838118521	19038
944058086287937	4476
948235334457352	2419
952412582626768	1487
956589830796184	501
960767078965599	852
964944327135015	546
969121575304431	22382
973298823473846	15728
977476071643262	5922
981653319812678	1481
985830567982093	1501
990007816151509	669
994185064320924	518
998362312490340	514
