bucket	count
4177248169415	806924
8354496338831	500735
12531744508246	160948
16708992677662	153886
20886240847078	80953
25063489016493	28592
29240737185909	83587
33417985355325	35359
37595233524740	324905
41772481694156	484416
45949729863572	147652
50126978032987	64342
54304226202403	84563
58481474371819	23210
62658722541234	26751
66835970710650	43988
71013218880066	377873
75190467049481	315480
79367715218897	387484
83544963388313	87755
87722211557728	60411
91899459727144	58795
96076707896559	32591
100253956065975	34457
104431204235391	119425
108608452404806	116754
112785700574222	106311
116962948743638	41112
121140196913053	22540
125317445082469	17700
129494693251885	12276
133671941421300	12532
137849189590716	7805
142026437760132	142258
146203685929547	80040
150380934098963	28259
154558182268379	23968
158735430437794	12521
162912678607210	4125
167089926776626	11126
171267174946041	5470
175444423115457	71177
179621671284873	91055
183798919454288	31386
187976167623704	11906
192153415793119	17305
196330663962535	5506
200507912131951	5576
204685160301366	7708
208862408470782	55295
213039656640198	42895
217216904809613	58775
221394152979029	13600
225571401148445	10757
229748649317860	10093
233925897487276	5074
238103145656692	4787
242280393826107	16980
246457641995523	21080
250634890164939	18788
254812138334354	9522
258989386503770	4655
263166634673186	2638
267343882842601	2659
271521131012017	2491
275698379181432	1176
279875627350848	49886
284052875520264	44130
288230123689679	14408
292407371859095	13013
296584620028511	8118
300761868197926	2776
304939116367342	5716
309116364536758	3225
313293612706173	43157
317470860875589	50800
321648109045005	24061
325825357214420	8345
330002605383836	7567
334179853553252	3110
338357101722667	3065
342534349892083	5054
346711598061499	25082
350888846230914	18299
355066094400330	24597
359243342569746	5763
363420590739161	4091
367597838908577	3578
371775087077992	2414
375952335247408	2557
380129583416824	159647
384306831586239	412015
388484079755655	294495
392661327925071	126175
396838576094486	71672
401015824263902	44875
405193072433318	25343
409370320602733	42578
413547568772149	20129
417724816941565	317589
421902065110980	332369
426079313280396	106039
430256561449812	65437
434433809619227	48359
438611057788643	16564
442788305958059	26333
446965554127474	25762
451142802296890	275641
455320050466305	307679
459497298635721	228576
463674546805137	62232
467851794974552	51713
472029043143968	32172
476206291313384	22596
480383539482799	27468
484560787652215	95407
488738035821631	89858
492915283991046	96203
497092532160462	32859
501269780329878	16342
505447028499293	13730
509624276668709	10460
513801524838125	9610
517978773007540	24032
522156021176956	92107
526333269346372	54748
530510517515787	23472
534687765685203	16856
538865013854618	7850
543042262024034	3913
547219510193450	7472
551396758362865	3806
555574006532281	59674
559751254701697	64736
563928502871112	21250
568105751040528	9998
572282999209944	11672
576460247379359	3683
580637495548775	4501
584814743718191	5266
588991991887606	36154
593169240057022	31529
597346488226438	32871
601523736395853	7443
605700984565269	6008
609878232734685	6194
614055480904100	3139
618232729073516	2977
622409977242932	14761
626587225412347	15209
630764473581763	13500
634941721751178	7824
639118969920594	2840
643296218090010	1753
647473466259425	2543
651650714428841	1383
655827962598257	840
660005210767672	41119
664182458937088	23533
668359707106504	8698
672536955275919	8970
676714203445335	3883
680891451614751	1840
685068699784166	4384
689245947953582	1713
693423196122998	29129
697600444292413	40279
701777692461829	12903
705954940631245	5670
710132188800660	5202
714309436970076	1648
718486685139492	2018
722663933308907	3586
726841181478323	16923
731018429647738	13026
735195677817154	16456
739372925986570	3281
743550174155985	2553
747727422325401	2394
751904670494817	1548
756081918664232	1638
760259166833648	327312
764436415003064	391339
768613663172479	286011
772790911341895	150737
776968159511311	62808
781145407680726	44153
785322655850142	38574
789499904019558	37088
793677152188973	19279
797854400358389	461723
802031648527805	274690
806208896697220	106981
810386144866636	80819
814563393036051	37471
818740641205467	16225
822917889374883	38555
827095137544298	18556
831272385713714	305386
835449633883130	380142
839626882052545	162288
843804130221961	61966
847981378391377	59242
852158626560792	24739
856335874730208	24235
860513122899624	28637
864690371069039	90406
868867619238455	81818
873044867407871	97742
877222115577286	27189
881399363746702	16338
885576611916118	14587
889753860085533	9505
893931108254949	9633
898108356424365	39228
902285604593780	83393
906462852763196	60891
910640100932611	29632
914817349102027	16755
918994597271443	8271
923171845440858	5369
927349093610274	7567
931526341779690	3608
935703589949105	73461
