length	count
6	61
7	92
8	119
9	144
10	307
11	903
12	825
13	1029
14	1081
15	1331
16	1534
17	1574
18	1376
19	1229
20	1309
21	1183
22	1205
23	1185
16407	1
24	1074
25	1077
26	1139
27	1165
28	1156
29	1956
30	2079
31	2109
32	2097
33	2195
34	2216
35	2476
36	2515
37	3213
38	3353
39	3284
40	5112
41	5300
42	5193
43	5467
44	5828
45	6407
46	6335
47	6613
48	6641
49	7252
50	7498
51	7903
52	7963
53	8113
54	8328
55	8706
56	8850
57	8988
58	9149
59	11974
60	12987
61	14006
62	13788
63	13981
64	14351
65	14506
66	15376
67	15307
68	15505
69	15787
70	15236
71	15372
72	15300
73	15412
74	15333
75	15279
76	15644
77	15859
78	15728
79	15447
80	15609
81	15595
82	15168
83	15480
84	15899
85	15760
86	15698
87	15700
88	15550
89	16501
90	15949
91	15564
92	15620
93	15783
94	15348
95	15839
96	16204
97	15754
98	15773
99	16350
100	16305
101	16668
102	15777
103	15915
104	16385
105	15811
106	16190
107	16601
108	16422
109	16211
110	16348
111	15690
112	16689
113	16260
114	16239
115	16530
116	16911
117	16701
118	16849
119	17156
120	17183
121	18013
122	17711
123	16739
124	17073
125	17327
126	17394
127	17627
128	17459
129	17506
130	17792
131	17543
132	17855
133	17289
134	17736
135	17468
136	17780
137	17873
138	18023
139	18305
140	18529
141	18634
142	18302
143	18078
144	18575
145	18367
146	17795
16530	1
147	18488
148	18262
149	18784
150	18801
151	18794
152	18195
153	18122
154	18338
155	18307
156	18837
157	18662
158	18360
159	18556
160	18183
161	17840
162	17564
163	17518
164	17418
165	17488
166	17129
167	16960
168	16544
169	16487
170	16194
171	16583
172	16722
173	16544
174	16271
175	16364
176	16351
177	16316
178	16518
179	17141
180	16983
181	16696
182	16960
183	17016
184	17233
185	17464
186	17235
187	17381
188	17122
189	16883
190	16727
191	16972
192	17250
193	17328
194	16902
195	16638
196	16857
197	16880
198	17001
199	17320
200	17465
201	17228
202	16830
203	16782
204	16858
205	17132
206	17422
207	17048
208	17369
209	17427
210	17783
211	16956
212	17527
213	17497
214	16953
215	17070
216	17258
217	17227
218	17502
219	18963
220	16761
221	16610
222	17761
223	16692
224	16872
225	17192
226	16787
227	16626
228	16496
229	17166
230	16840
231	17112
232	17073
233	16654
234	16665
235	16390
236	16077
237	16204
238	16078
239	15925
240	16242
241	16176
242	16048
243	16613
244	16102
245	16817
246	17032
247	17047
248	17702
249	17634
250	17402
251	18000
252	18385
253	18215
254	18185
255	18789
256	18253
257	18441
258	18037
259	17862
260	17741
261	17453
262	17491
263	17217
264	17164
265	16511
266	16289
267	16447
268	16138
269	16209
270	15919
271	16152
272	15657
273	16139
274	15935
275	16990
276	16074
277	15913
278	15742
279	15674
280	15939
281	16032
282	16149
283	16084
284	16071
285	16037
286	16442
287	15975
288	16331
289	16453
290	16775
291	16458
292	16763
293	16847
294	16902
295	16964
296	16768
297	16541
298	16470
299	16638
300	16769
301	16562
302	16426
303	16229
304	16192
305	16039
306	16593
307	16154
308	16746
309	16964
310	16525
311	15881
312	16065
313	16079
314	15786
315	15549
316	15784
317	15493
318	15474
319	15579
320	15230
321	15545
322	15301
323	15578
324	15229
325	15612
326	15697
327	15243
328	15642
329	15440
330	15084
331	15249
332	15264
333	15368
334	15648
335	15023
336	15569
337	15200
338	14784
339	14856
340	14828
341	14410
342	14509
343	14321
344	14055
345	13867
346	14034
347	13599
348	13336
349	13245
350	13297
351	12884
352	12829
353	12800
354	12700
355	12807
356	12670
357	12342
358	12295
359	12409
360	12685
361	12305
362	12338
363	12096
364	12052
365	12263
366	12327
367	12433
368	12119
369	12010
370	11736
371	12008
372	12160
373	11693
374	11963
375	12123
376	11865
377	12039
378	11889
379	12244
380	12033
381	11960
382	12014
383	11596
384	11514
385	11939
386	11564
387	12346
388	12449
389	11583
390	12106
391	12093
392	12346
393	12196
394	12162
395	12290
396	12341
397	12033
398	11839
399	11840
400	12562
401	11948
402	11608
403	11437
404	11865
405	11473
406	11863
407	11081
408	10821
409	10995
33177	1
410	10982
33178	1
411	10550
412	10831
413	10760
414	10513
415	10526
416	11142
417	10876
418	10638
419	11544
420	10623
421	10523
422	10436
423	10575
424	10238
425	10519
426	10683
427	10682
428	10777
429	10410
430	10460
431	10116
432	10141
433	9937
434	10212
435	9585
436	9777
437	9402
438	9532
439	9436
440	9483
441	9413
442	9343
443	9460
444	9281
445	9634
446	9760
447	9978
448	9594
449	9483
450	9659
16834	1
451	9394
452	9594
453	9340
454	9351
455	9264
456	9216
457	9498
458	9158
459	9347
460	8766
461	9111
462	8849
463	9008
464	8508
465	8619
16849	1
466	8718
467	8721
468	8437
469	8500
470	8426
471	8274
472	8511
473	8065
474	8334
475	8297
476	7999
477	8312
16861	1
478	8009
479	7879
480	7796
481	7822
482	7591
483	7784
484	7632
485	7598
33253	1
486	7620
487	7345
488	7418
489	7163
490	7365
491	7044
492	7345
493	7071
494	6925
495	7241
496	7014
497	6947
498	7237
499	7180
500	7168
501	6669
502	6936
503	6660
504	6678
505	6806
506	6923
507	6624
508	6530
509	6658
510	6688
511	6605
512	6848
513	6537
514	6497
515	5985
516	6217
517	6123
518	5856
519	5621
520	5900
521	5521
522	5399
523	5572
524	5552
525	5409
526	5371
527	5484
528	5306
529	5523
530	5428
16914	1
531	5338
532	5343
533	5338
534	5080
535	5307
536	5303
537	4975
538	5331
539	5361
540	5428
541	5546
542	5328
543	5200
544	5050
545	5083
546	5058
547	5255
548	5555
549	5090
550	5153
551	5222
552	5022
553	5340
554	5190
555	5015
556	5131
557	4896
558	4750
559	5157
560	4930
561	4934
562	4573
563	4440
564	4583
565	4679
566	5058
567	4568
